vegetarian,glutenFree,dairyFree,veryHealthy,healthScore,aggregateLikes,id,title,pricePerServing,readyInMinutes,servings,sourceUrl
False,False,True,False,18.0,7,664087,Turkish Baharat Meatballs with Lentil Pilaf,165.4,45,8,http://www.foodista.com/recipe/J6HGBYYC/turkish-baharat-meatballs-with-lentil-pilaf
False,False,False,False,23.0,18,636558,Buttermilk Onion Rings,224.72,45,3,https://www.foodista.com/recipe/H347QHDP/buttermilk-onion-rings
True,True,True,False,40.0,161,716195,Spicy Indian-Style Hummus,43.68,45,12,http://foodandspice.blogspot.com/2012/07/spicy-hummus-indian-style.html
False,False,False,False,0.0,6,632241,Alouette Crème De Brie Shrimp Cups,26.09,45,30,http://www.foodista.com/recipe/TMXCHQZ8/alouette-creme-de-brie-shrimp-cups
True,True,False,False,2.0,32,641730,Dulce De Leche Cheesecake,127.91,45,10,http://www.foodista.com/recipe/5LN8R7Z4/dulce-de-leche-cheesecake
True,True,False,False,1.0,334,716425,Charred Onion Dip w. Steamed Red Potatoes for Dipping,48.53,45,6,http://fullbellysisters.blogspot.com/2014/12/charred-onion-dip-easyentertaining.html
True,False,True,False,14.0,13,665257,Whole Grain Pumpkin Bread,41.83,45,24,http://www.foodista.com/recipe/NV6J583C/whole-grain-pumpkin-bread
True,True,False,False,6.0,10,647068,Homemade pineapple ice cream,109.99,45,6,http://www.foodista.com/recipe/4MN7KFYB/homemade-pineapple-ice-cream
True,True,True,True,93.0,19,644387,Garlicky Kale,69.09,45,2,http://www.foodista.com/recipe/J2FTJBF7/garlicky-kale
False,False,False,False,1.0,15,636328,Brownie Coffins,55.55,45,5,https://www.foodista.com/recipe/6N5LJN3V/brownie-coffins
False,False,True,False,2.0,11,660868,Spanish Meatballs In Tomato Sauce,59.72,45,20,http://www.foodista.com/recipe/B5G2KB4R/spanish-meatballs-in-tomato-sauce
False,False,False,False,24.0,6,634496,BBQ Mac and Cheese,182.04,45,4,https://www.foodista.com/recipe/FNMKDX42/bbq-mac-and-cheese
False,False,True,False,6.0,10,663338,The Scotch Egg,174.92,45,6,https://www.foodista.com/recipe/VS7W2DW5/the-scotch-egg
False,True,False,False,12.0,7,637569,Cheese Pork Chops,235.4,30,4,http://www.foodista.com/recipe/B8SJ2DD4/cheese-pork-chops
False,True,True,False,19.0,56,716342,Chicken Suya,186.02,45,1,http://www.afrolems.com/2014/05/27/chicken-suya/
False,True,True,False,1.0,83,632250,Alouette Sundried Tomato and Basil Bisque,34.82,45,8,https://www.foodista.com/recipe/PQVZCRLT/alouette-sundried-tomato-and-basil-bisque
True,False,False,False,4.0,9,648348,Jalapeno Cornbread Stuffing,95.22,45,10,https://www.foodista.com/recipe/35CL7GG7/jalapeno-cornbread-stuffing
False,True,True,False,27.0,11,634434,Basil Marinated Grilled Chicken,259.49,45,8,https://www.foodista.com/recipe/6FPGHLSQ/basil-marinated-grilled-chicken
False,True,True,False,1.0,6,655668,"Peppermint Brookie Pies - gluten free, dairy free",60.15,45,16,http://www.foodista.com/recipe/4WL26GS4/peppermint-brookie-pies-gluten-free-dairy-free
True,False,False,False,3.0,1148,715477,The BEST Lemon Bars,92.08,45,6,https://www.pinkwhen.com/the-best-lemon-bars-recipe/
False,True,False,True,64.0,15,636601,Butternut Squash Risotto With Pancetta and Sage Oil,1318.4,45,1,https://www.foodista.com/recipe/5DKW4NLB/butternut-squash-risotto-with-pancetta-and-sage-oil
True,False,True,False,4.0,15,644488,German Rhubarb Cake with Meringue,60.72,45,12,https://www.foodista.com/recipe/68PX6QXK/german-rhubarb-cake-with-meringue
False,False,False,False,14.0,17,637593,Cheese Tortellini With Shrimp In Tomato Cream Sauce,407.09,45,4,http://www.foodista.com/recipe/ZTD3WYNC/cheese-tortellini-with-shrimp-in-tomato-cream-sauce
True,True,True,False,1.0,101,716424,Strawberry Basil Sorbet (no Ice Cream Maker Necessary!),76.94,45,1,http://fullbellysisters.blogspot.com/2011/05/strawberry-basil-sorbet-no-ice-cream.html
False,True,False,False,18.0,75,636385,Buckwheat Banana Pancakes,134.63,30,1,http://www.foodista.com/recipe/MRC4H53Z/buckwheat-banana-pancakes
False,False,False,False,21.0,18,632874,Asian Salmon Burgers With Tangy Ginger Lime Sauce,370.04,30,4,http://www.foodista.com/recipe/FRT38YTC/asian-salmon-burgers-with-tangy-ginger-lime-sauce
False,False,False,False,25.0,6,651407,Mediterranean eggplants,329.1,45,4,http://www.foodista.com/recipe/N6XLCVFG/mediterranean-eggplants
True,True,True,False,26.0,366,716415,Butternut Squash & Pear Soup: Real Convenience Food,311.87,45,2,http://fullbellysisters.blogspot.com/2011/11/butternut-squash-pear-soup-real.html
False,True,True,False,4.0,11,633955,Balsamic-Honey Chicken Drumsticks,110.64,45,8,http://www.foodista.com/recipe/VV27WS4C/balsamic-honey-chicken-drumsticks
False,True,False,False,0.0,96,655683,Peppermint Patties,11.24,45,60,http://www.foodista.com/recipe/RPW2W6JB/peppermint-patties
False,True,False,False,6.0,15,646442,Healthy Black Forest Baked Oatmeal,85.27,45,3,https://www.foodista.com/recipe/KHN7KKGJ/healthy-black-forest-baked-oatmeal
False,True,True,False,6.0,12,637458,Charlotte Potato Salad,61.12,30,4,http://www.foodista.com/recipe/8MHQWYGF/charlotte-potato-salad
True,True,False,False,0.0,7,644861,Gluten Free Yellow Cake And Cupcakes,56.09,45,24,https://www.foodista.com/recipe/4BMVR7W2/gluten-free-yellow-cake-and-cupcakes
False,True,True,False,1.0,7,640844,Crispy Tiger Prawns With Honey and Garlic Sauce,116.12,45,3,https://www.foodista.com/recipe/FDVPTDS5/crispy-tiger-prawns-with-honey-and-garlic-sauce
True,False,False,False,4.0,892,715568,Chocolate Chip Cookies,88.18,45,6,http://www.pinkwhen.com/huckleberry-chocolate-chip-cookies-recipe/
False,True,True,False,8.0,11,633692,Baked Oatmeal with Dried Cranberries,51.06,45,9,http://www.foodista.com/recipe/VS5TY2X2/baked-oatmeal-with-dried-cranberries
False,False,False,False,6.0,1915,715559,Easy Cheesy Garlic Bread,87.08,15,8,http://www.pinkwhen.com/easy-cheesy-garlic-bread/
False,True,True,False,2.0,14,638939,"Chocolate Chip Pancakes-gluten free, nut free, vegan",46.49,45,12,https://www.foodista.com/recipe/TVH4PNC8/chocolate-chip-pancakes-gluten-free-nut-free-vegan
False,False,False,False,49.0,9,633765,Baked Rigatoni With Sausage,295.8,45,6,http://www.foodista.com/recipe/XSDM3NJC/baked-rigatoni-with-sausage
False,False,False,False,7.0,832,715511,Antipasto Squares,321.92,45,6,http://www.pinkwhen.com/antipasto-squares/
False,True,True,False,27.0,9,631738,Chicken with Grape Tomatoes and Mushrooms,299.67,45,4,https://www.foodista.com/recipe/2Y3G5WSH/chicken-with-grape-tomatoes-and-mushrooms
False,True,False,False,8.0,6,633068,Authentic Bolognese Sauce,230.77,45,8,http://www.foodista.com/recipe/TV5C22MQ/authentic-bolognese-sauce
False,True,False,False,6.0,7,636812,California Wild Rice & Beef Cabbage Wrap With Crunchy Ricotta Cheese,61.58,45,8,http://www.foodista.com/recipe/FY5R5PYS/california-wild-rice-beef-cabbage-wrap-with-crunchy-ricotta-cheese
False,True,True,True,100.0,7,659135,Salmon with roasted vegetables,516.03,45,2,https://www.foodista.com/recipe/7TTSVX56/salmon-with-roasted-vegetables
False,True,False,True,78.0,15,661340,Spinach Salad with Strawberry Vinaigrette,338.97,45,1,http://www.foodista.com/recipe/5HT32BN5/spinach-salad-with-strawberry-vinaigrette
False,True,False,False,1.0,9,643129,Flawless Chocolate Fudge,33.3,60,16,http://www.foodista.com/recipe/38ND6CKS/flawless-chocolate-fudge
False,False,True,True,63.0,6,646034,Guinness Braised Corned Beef and Cabbage,294.05,45,6,https://www.foodista.com/recipe/5NNYR6RD/guinness-braised-corned-beef-and-cabbage
True,True,False,False,1.0,10,654534,Paneer Makhani,205.38,45,4,https://www.foodista.com/recipe/ZVKR6J5M/paneer-makhani
True,False,False,False,0.0,8,653445,Oatmeal Coconut Cookies,7.39,45,32,https://www.foodista.com/recipe/PVVWD7DV/oatmeal-coconut-cookies
False,True,True,False,22.0,13,659934,Shrimp and Lemongrass Soup,168.22,45,4,https://www.foodista.com/recipe/CBKJ76FJ/shrimp-and-lemongrass-soup
True,True,False,False,7.0,9,638717,Chinese Steamed Flan,169.27,45,6,http://www.foodista.com/recipe/GNDGXPZK/chinese-steamed-flan
False,False,False,False,0.0,41,637767,Cherry Jello Poke Cake,25.56,45,18,https://www.foodista.com/recipe/3N5GD8Q6/cherry-jello-poke-cake
True,False,False,False,4.0,11,632632,Applesauce Cake,107.09,45,12,https://www.foodista.com/recipe/QPSPX2W7/applesauce-cake
False,True,True,False,13.0,9,639628,Classic Pot Roast,186.55,45,6,https://www.foodista.com/recipe/MHHJFJCK/classic-pot-roast
True,True,True,False,42.0,15,636292,Brown Rice Mushroom Pilaf,42.15,45,4,https://www.foodista.com/recipe/S4DB57DW/brown-rice-mushroom-pilaf
True,False,True,False,1.0,24,633078,Authentic Italian Biscotti,9.73,45,60,http://www.foodista.com/recipe/7LQFSKC5/authentic-italian-biscotti
False,True,False,True,75.0,159,795751,Chicken Fajita Stuffed Bell Pepper,362.46,45,3,http://www.pinkwhen.com/chicken-fajita-stuffed-bell-pepper/
False,True,False,False,17.0,22,639303,Chocolatey Overnight Oats with Strawberries,213.39,45,1,http://www.foodista.com/recipe/YTFKY5YF/chocolatey-overnight-oats-with-strawberries
True,True,True,False,7.0,7,634992,Bing's Mango Salsa,207.84,45,4,https://www.foodista.com/recipe/84DB7TTN/bing-s-mango-salsa
False,False,False,True,82.0,9,661259,Spinach and Gorgonzola Stuffed Flank Steak,420.61,45,4,https://www.foodista.com/recipe/SWTFLZXM/spinach-and-gorgonzola-stuffed-flank-steak
False,True,True,False,10.0,58,631748,Asian Shrimp Stir-Fry,268.68,45,4,https://www.foodista.com/recipe/GK6SWY26/asian-shrimp-stir-fry
True,True,True,False,6.0,20,632155,Almond Nut Butter,43.63,45,16,https://www.foodista.com/recipe/LQJQ8PPH/almond-nut-butter
False,False,False,False,40.0,231,715573,Simple Skillet Lasagna,245.66,35,5,http://www.pinkwhen.com/skillet-lasagna/
False,True,True,False,2.0,171,769754,Beef Carrot Stew,73.98,45,1,http://www.afrolems.com/2016/05/26/beef-carrot-stew/
True,False,False,False,10.0,435,715378,Strawberry and Nutella Cobbler,178.02,45,3,http://www.pinkwhen.com/strawberry-and-nutella-cobbler/
False,True,True,False,24.0,7,640349,Cranberry and Orange Juice Spareribs,253.63,210,4,http://www.foodista.com/recipe/KND4S2Q4/cranberry-and-orange-juice-spareribs
True,True,False,True,75.0,6,157344,"Spicy Salad with Kidney Beans, Cheddar, and Nuts",458.91,10,1,http://spoonacular.com/-1384191937003
True,False,False,False,0.0,43,715389,Cinnamon Nut Squares,26.01,70,24,http://www.pinkwhen.com/cinnamon-nut-squares/
False,False,False,False,13.0,34,716414,"Red, White & Blue Crepes: Happy July 4th! @driscollsberry",306.73,45,1,http://fullbellysisters.blogspot.com/2014/07/red-white-blue-crepes-happy-july-4th.html
True,True,True,False,7.0,6,663313,The Pearhattan Cocktail,509.89,45,1,http://www.foodista.com/recipe/SXTRH8NR/the-pearhattan-cocktail
True,False,False,False,2.0,13,641445,Dessert That's No Problem: Baked Pears with Oatmeal Crumble,53.28,45,4,https://www.foodista.com/recipe/YBL337T4/dessert-that-s-no-problem-baked-pears-with-oatmeal-crumble
False,True,False,False,9.0,11,640621,Creamy Chicken Tikka Masala,222.19,45,4,http://www.foodista.com/recipe/B37W5NWL/creamy-chicken-tikka-masala
False,True,False,False,9.0,1416,715397,Cheesy Chicken and Rice Casserole,175.64,60,6,http://www.pinkwhen.com/cheesy-chicken-and-rice-casserole-bake/
True,True,False,False,17.0,19,716321,Coconut Guava Ice cream,234.77,45,4,http://www.afrolems.com/2015/08/03/coconut-guava-ice-cream/
False,False,False,False,25.0,23,637658,Cheesy Ham and Shrimp Macaroni Au Gratin,135.75,45,4,http://www.foodista.com/recipe/4F3FG5W5/cheesy-ham-and-shrimp-macaroni-au-gratin
False,True,True,False,38.0,22,633132,Avocado Chicken Salad,356.5,45,2,http://www.foodista.com/recipe/T2D345B2/avocado-chicken-salad
False,False,True,False,9.0,31,633786,Baked Scallops With Parma Ham,119.57,45,6,https://www.foodista.com/recipe/HCYYJYBM/baked-scallops-with-parma-ham
True,True,False,False,1.0,84,652284,Molten Chocolate Liquor Cakes,94.52,45,6,http://www.foodista.com/recipe/R3KJBX3L/molten-chocolate-liquor-cakes
False,True,False,True,60.0,7,633258,Bacon & Crimini Mushroom Risotto,1899.87,45,1,https://www.foodista.com/recipe/HXMHG7JV/bacon-cremini-risotto
True,True,True,True,61.0,471,716627,Easy Homemade Rice and Beans,106.02,35,2,http://cooking2perfection.blogspot.com/2012/11/easy-homemade-rice-and-beans.html
False,True,True,False,33.0,58,655235,Peanut Butter and Jelly Smoothie,96.34,45,2,http://www.foodista.com/recipe/K5KVRWVR/peanut-butter-and-jelly-smoothie
True,False,False,False,4.0,14,653977,Orange Zest Maple Date Bars,162.93,45,8,https://www.foodista.com/recipe/YFWBSYDM/orange-zest-maple-date-bars
False,True,False,False,11.0,8,653308,North Carolina-Style BBQ Pulled Pork,153.89,45,12,http://www.foodista.com/recipe/NLC22Q5D/north-carolina-style-bbq-pulled-pork
False,False,False,False,1.0,58,649056,Korean Honey Citron Tea Cheesecake,122.1,45,8,http://www.foodista.com/recipe/PB5GFPYT/yuja-korean-honey-citron-tea-cheesecake
True,True,True,True,90.0,14,662670,Swiss Chard Wraps,81.56,45,6,https://www.foodista.com/recipe/LHXZRNVW/swiss-chard-wraps
False,False,False,False,35.0,82,658357,Rigatoni With Sweet Sausages In Creamy Tomato Sauce,190.36,45,4,https://www.foodista.com/recipe/B88DK7YQ/rigatoni-with-sweet-sausages-in-creamy-tomato-sauce
False,True,False,False,27.0,8,644828,Gluten Free Fruit Stuffed Turkey Breast with Hibiscus Sauce,429.08,45,4,http://www.foodista.com/recipe/TG5HY8N2/gluten-free-fruit-stuffed-turkey-breast-with-hibiscus-sauce
True,False,True,False,2.0,18,64694,Gingerbread,40.34,45,14,https://www.foodista.com/recipe/ZT6VVCSS/gingerbread
False,False,False,False,9.0,2848,715546,Key Lime Pie,186.34,18,5,http://www.pinkwhen.com/key-lime-pie-recipe/
False,True,False,False,28.0,73,716427,Roasted Butterflied Chicken w. Onions & Carrots,288.2,45,4,http://fullbellysisters.blogspot.com/2014/04/roasted-butterflied-chicken-w-onions.html
False,True,True,False,2.0,392,639116,Chocolate nut spread,48.41,45,20,http://www.foodista.com/recipe/5LCS4346/chocolate-nut-spread
False,False,False,False,21.0,12,659988,Shrimp pasta with white wine tomato cream sauce,299.47,45,4,http://www.foodista.com/recipe/DCXZ65TN/shrimp-pasta-with-white-wine-tomato-cream-sauce
False,True,True,False,19.0,19,634486,BBQ Beef Brisket,306.81,45,8,https://www.foodista.com/recipe/T3NNZRNQ/bbq-beef-brisket
True,True,False,False,23.0,10,656544,Polenta gnocchi with savoy cabbage and cheese,239.49,45,2,http://www.foodista.com/recipe/WWSDXGJH/polenta-gnocchi-with-savoy-cabbage-and-cheese
False,False,False,False,2.0,22,631751,Hot Crab Dip,136.86,45,4,https://www.foodista.com/recipe/5FF8FJ23/holiday-hot-crabmeat-dip
True,True,True,True,76.0,3689,716426,"Cauliflower, Brown Rice, and Vegetable Fried Rice",112.39,30,8,http://fullbellysisters.blogspot.com/2012/01/cauliflower-fried-rice-more-veggies.html
True,False,True,True,96.0,11,652417,Moroccan chickpea and lentil stew,126.12,30,3,http://www.foodista.com/recipe/C6DXLHJH/moroccan-chickpea-and-lentil-stew
False,True,True,False,4.0,10,652433,Moroccan Lemon Shish Kebabs,61.73,45,8,https://www.foodista.com/recipe/JH2GSZPF/moroccan-lemon-shish-kebabs
False,True,False,False,24.0,23,780001,Pesto Chicken Zoodles,274.6,45,3,http://www.pinkwhen.com/pesto-chicken-zoodles/
False,False,False,False,0.0,8,637218,Carrot Raisin Chocolate Chip Cookies,10.89,45,36,https://www.foodista.com/recipe/HGGH4FWJ/carrot-raisin-chocolate-chip-cookies
